threshold,fpr,tpr
0.617,0.0,0.009248554913294798
0.618,0.0,0.009248554913294798
0.619,0.0,0.009248554913294798
0.62,0.0,0.008670520231213872
0.621,0.0,0.008670520231213872
0.622,0.0,0.008670520231213872
0.623,0.0,0.008092485549132947
0.624,0.0,0.008092485549132947
0.625,0.0,0.008092485549132947
0.626,0.0,0.008092485549132947
0.627,0.0,0.008092485549132947
0.628,0.0,0.008092485549132947
0.629,0.0,0.008092485549132947
0.63,0.0,0.008092485549132947
0.631,0.0,0.008092485549132947
0.632,0.0,0.007514450867052023
0.633,0.0,0.007514450867052023
0.634,0.0,0.007514450867052023
0.635,0.0,0.006936416184971098
0.636,0.0,0.006936416184971098
0.637,0.0,0.006936416184971098
0.638,0.0,0.006936416184971098
0.639,0.0,0.006936416184971098
0.64,0.0,0.006936416184971098
0.641,0.0,0.006936416184971098
0.642,0.0,0.006936416184971098
0.643,0.0,0.006936416184971098
0.644,0.0,0.006936416184971098
0.645,0.0,0.006936416184971098
0.646,0.0,0.006936416184971098
0.647,0.0,0.006936416184971098
0.648,0.0,0.006936416184971098
0.649,0.0,0.006936416184971098
0.65,0.0,0.006936416184971098
0.651,0.0,0.006936416184971098
0.652,0.0,0.006936416184971098
0.653,0.0,0.006936416184971098
0.654,0.0,0.006936416184971098
0.655,0.0,0.006936416184971098
0.656,0.0,0.006936416184971098
0.657,0.0,0.006936416184971098
0.658,0.0,0.006936416184971098
0.659,0.0,0.006936416184971098
0.66,0.0,0.006936416184971098
0.661,0.0,0.006936416184971098
0.662,0.0,0.006936416184971098
0.663,0.0,0.006936416184971098
0.664,0.0,0.006936416184971098
0.665,0.0,0.006936416184971098
0.666,0.0,0.006936416184971098
0.667,0.0,0.006936416184971098
0.668,0.0,0.006936416184971098
0.669,0.0,0.006936416184971098
0.67,0.0,0.006936416184971098
0.671,0.0,0.006936416184971098
0.672,0.0,0.006936416184971098
0.673,0.0,0.006936416184971098
0.674,0.0,0.006936416184971098
0.675,0.0,0.006358381502890174
0.676,0.0,0.006358381502890174
0.677,0.0,0.006358381502890174
0.678,0.0,0.006358381502890174
0.679,0.0,0.006358381502890174
0.68,0.0,0.006358381502890174
0.681,0.0,0.006358381502890174
0.682,0.0,0.006358381502890174
0.683,0.0,0.006358381502890174
0.684,0.0,0.006358381502890174
0.685,0.0,0.006358381502890174
